"Date","Price","Open","High","Low","Vol.","Change %"
"10/10/2022","4.29","4.39","4.39","4.16","20.89M","-2.28%"
"10/07/2022","4.39","4.67","4.68","4.34","31.43M","-6.40%"
"10/06/2022","4.69","4.99","5.10","4.69","24.72M","-6.39%"
"10/05/2022","5.01","4.80","5.11","4.79","30.92M","1.83%"
"10/04/2022","4.92","4.88","4.97","4.61","60.86M","4.02%"
"10/03/2022","4.73","4.58","4.81","4.51","25.01M","7.50%"
"09/30/2022","4.40","4.37","4.63","4.32","29.92M","-0.90%"
"09/29/2022","4.44","4.68","4.68","4.39","24.21M","-7.69%"
"09/28/2022","4.81","4.50","4.86","4.49","28.51M","5.48%"
"09/27/2022","4.56","4.62","4.87","4.44","25.81M","1.11%"
"09/26/2022","4.51","4.57","4.82","4.50","26.63M","-4.45%"
"09/23/2022","4.72","4.84","4.89","4.60","31.55M","-5.22%"
"09/22/2022","4.98","5.22","5.33","4.86","27.06M","-4.96%"
"09/21/2022","5.24","5.24","5.42","5.08","18.87M","0.38%"
"09/20/2022","5.22","5.24","5.32","5.14","17.20M","-2.06%"
"09/19/2022","5.33","5.10","5.38","4.97","26.83M","0.95%"
"09/16/2022","5.28","5.31","5.33","5.00","41.24M","-4.17%"
"09/15/2022","5.51","5.38","5.81","5.34","31.62M","1.66%"
"09/14/2022","5.42","5.25","5.44","5.19","18.59M","2.07%"
"09/13/2022","5.31","5.16","5.45","5.06","22.04M","-3.63%"
"09/12/2022","5.51","5.49","5.59","5.32","24.53M","2.23%"
"09/09/2022","5.39","5.15","5.40","5.08","27.90M","6.52%"
"09/08/2022","5.06","4.94","5.12","4.86","18.85M","1.61%"
"09/07/2022","4.98","4.73","5.01","4.68","14.07M","5.51%"
"09/06/2022","4.72","5.00","5.01","4.71","21.81M","-4.45%"
"09/02/2022","4.94","4.84","5.08","4.83","27.51M","0.82%"
"09/01/2022","4.90","4.88","4.96","4.62","22.36M","0.00%"
"08/31/2022","4.90","4.86","4.97","4.81","16.17M","0.20%"
"08/30/2022","4.89","4.97","5.04","4.81","23.21M","-0.61%"
"08/29/2022","4.92","4.84","5.09","4.81","24.34M","-0.40%"
"08/26/2022","4.94","5.04","5.08","4.84","29.10M","-1.00%"
"08/25/2022","4.99","4.90","5.06","4.84","39.16M","0.81%"
"08/24/2022","4.95","4.54","5.18","4.50","52.87M","8.55%"
"08/23/2022","4.56","4.50","4.75","4.40","35.23M","0.66%"
"08/22/2022","4.53","4.54","4.63","4.43","21.72M","-2.58%"
"08/19/2022","4.65","4.90","5.04","4.59","29.31M","-7.74%"
"08/18/2022","5.04","4.88","5.09","4.67","61.60M","-0.79%"
"08/17/2022","5.08","5.35","5.44","5.00","60.25M","-7.97%"
"08/16/2022","5.52","5.18","5.88","5.01","113.89M","17.95%"
"08/15/2022","4.68","4.24","4.82","4.14","58.43M","10.12%"
"08/12/2022","4.25","4.15","4.27","4.03","28.73M","4.17%"
"08/11/2022","4.08","4.50","4.58","4.07","28.69M","-7.69%"
"08/10/2022","4.42","4.51","4.54","4.36","23.65M","4.00%"
"08/09/2022","4.25","4.55","4.55","4.15","35.44M","-10.53%"
"08/08/2022","4.75","4.62","4.96","4.53","21.24M","5.79%"
"08/05/2022","4.49","4.49","4.65","4.32","16.55M","-3.85%"
"08/04/2022","4.67","4.42","4.70","4.33","20.67M","4.94%"
"08/03/2022","4.45","4.14","4.45","4.07","19.60M","8.80%"
"08/02/2022","4.09","4.01","4.25","3.93","18.60M","0.99%"
"08/01/2022","4.05","4.13","4.33","4.01","15.57M","-3.80%"
"07/29/2022","4.21","4.21","4.25","4.07","19.77M","0.00%"
"07/28/2022","4.21","4.07","4.29","3.99","26.73M","4.21%"
"07/27/2022","4.04","3.91","4.05","3.77","19.28M","6.60%"
"07/26/2022","3.79","3.98","4.01","3.79","22.09M","-8.89%"
"07/25/2022","4.16","4.23","4.25","4.07","7.31M","-1.42%"
"07/22/2022","4.22","4.54","4.57","4.19","15.31M","-6.84%"
"07/21/2022","4.53","4.58","4.69","4.34","16.13M","-1.95%"
"07/20/2022","4.62","4.09","4.65","4.07","35.70M","13.51%"
"07/19/2022","4.07","3.97","4.11","3.93","15.24M","4.63%"
"07/18/2022","3.89","3.96","4.09","3.87","17.92M","1.04%"
"07/15/2022","3.85","3.89","3.97","3.77","16.35M","0.79%"
"07/14/2022","3.82","3.93","3.96","3.80","11.67M","-4.02%"
"07/13/2022","3.98","3.83","4.10","3.80","11.39M","0.76%"
"07/12/2022","3.95","3.77","4.07","3.72","20.31M","4.77%"
"07/11/2022","3.77","3.90","3.90","3.61","31.68M","-5.28%"
"07/08/2022","3.98","4.13","4.13","3.96","16.03M","-4.56%"
"07/07/2022","4.17","4.06","4.22","4.06","11.44M","2.71%"
"07/06/2022","4.06","4.17","4.26","3.94","18.51M","-2.40%"
"07/05/2022","4.16","3.84","4.16","3.71","24.69M","6.39%"
"07/01/2022","3.91","3.71","3.98","3.70","14.71M","4.55%"
"06/30/2022","3.74","3.83","3.90","3.60","19.31M","-3.36%"
"06/29/2022","3.87","3.87","3.98","3.80","17.76M","0.78%"
"06/28/2022","3.84","3.99","4.10","3.77","12.97M","-3.52%"
"06/27/2022","3.98","4.09","4.15","3.89","10.66M","-1.97%"
"06/24/2022","4.06","4.05","4.24","4.01","19.81M","1.50%"
"06/23/2022","4.00","4.00","4.21","3.92","36.82M","1.52%"
"06/22/2022","3.94","3.77","3.98","3.71","30.66M","2.07%"
"06/21/2022","3.86","3.59","3.99","3.58","34.62M","11.24%"
"06/17/2022","3.47","3.37","3.50","3.29","19.22M","4.83%"
"06/16/2022","3.31","3.37","3.48","3.26","15.45M","-5.97%"
"06/15/2022","3.52","3.44","3.65","3.37","25.89M","2.62%"
"06/14/2022","3.43","3.56","3.61","3.36","19.17M","-2.28%"
"06/13/2022","3.51","3.48","3.59","3.40","28.69M","-3.57%"
"06/10/2022","3.64","3.67","3.85","3.62","31.45M","-5.70%"
"06/09/2022","3.86","4.33","4.33","3.85","24.00M","-10.85%"
"06/08/2022","4.33","4.23","4.52","4.23","17.30M","0.23%"
"06/07/2022","4.32","4.07","4.32","4.00","31.92M","0.70%"
"06/06/2022","4.29","4.60","4.75","4.26","24.60M","-4.67%"
"06/03/2022","4.50","4.31","4.54","4.22","54.71M","1.35%"
"06/02/2022","4.44","3.82","4.50","3.80","79.44M","16.23%"
"06/01/2022","3.82","3.84","3.95","3.66","31.03M","0.26%"
"05/31/2022","3.81","4.07","4.17","3.78","28.85M","-5.46%"
"05/27/2022","4.03","3.61","4.05","3.59","63.29M","14.16%"
"05/26/2022","3.53","3.50","3.80","3.36","61.05M","-1.67%"
"05/25/2022","3.59","3.40","3.59","3.26","51.13M","7.81%"
"05/24/2022","3.33","3.58","3.62","3.31","47.54M","-10.96%"
"05/23/2022","3.74","3.83","3.84","3.44","44.69M","-1.84%"
"05/20/2022","3.81","4.44","4.47","3.55","73.25M","-12.01%"
"05/19/2022","4.33","3.64","4.34","3.64","106.07M","13.35%"
"05/18/2022","3.82","3.85","4.01","3.67","120.80M","-6.37%"
"05/17/2022","4.08","4.81","5.01","3.96","97.87M","-6.21%"
"05/16/2022","4.35","4.80","4.83","4.03","29.11M","-9.75%"
"05/13/2022","4.82","4.13","4.98","4.12","25.64M","20.50%"
"05/12/2022","4.00","3.64","4.29","3.32","47.43M","8.40%"
"05/11/2022","3.69","4.25","4.28","3.69","27.89M","-15.56%"
"05/10/2022","4.37","4.62","4.63","4.26","14.20M","-0.23%"
"05/09/2022","4.38","5.00","5.05","4.35","20.43M","-16.25%"
"05/06/2022","5.23","5.37","5.39","5.02","17.49M","-3.51%"
"05/05/2022","5.42","5.58","5.60","5.25","15.03M","-6.07%"
"05/04/2022","5.77","5.42","5.78","5.25","16.37M","5.48%"
"05/03/2022","5.47","5.96","5.97","5.32","23.08M","-8.22%"
"05/02/2022","5.96","6.02","6.28","5.90","15.33M","-0.83%"
"04/29/2022","6.01","6.19","6.34","5.91","7.72M","-2.44%"
"04/28/2022","6.16","6.38","6.40","5.90","14.39M","-2.69%"
"04/27/2022","6.33","6.34","6.53","6.28","6.79M","0.32%"
"04/26/2022","6.31","6.81","6.81","6.22","8.15M","-8.82%"
"04/25/2022","6.92","6.65","6.95","6.46","6.81M","3.59%"
"04/22/2022","6.68","6.85","7.04","6.68","12.12M","-3.05%"
"04/21/2022","6.89","7.20","7.38","6.63","10.55M","-3.77%"
"04/20/2022","7.16","7.15","7.48","7.13","8.93M","-0.42%"
"04/19/2022","7.19","6.90","7.25","6.79","6.61M","4.35%"
"04/18/2022","6.89","6.99","7.05","6.77","6.86M","-1.99%"
"04/14/2022","7.03","7.19","7.22","6.87","5.70M","-1.82%"
"04/13/2022","7.16","7.09","7.23","6.96","4.67M","1.56%"
"04/12/2022","7.05","7.53","7.69","6.94","6.76M","-4.73%"
"04/11/2022","7.40","7.20","7.55","7.14","7.47M","1.65%"
"04/08/2022","7.28","7.27","7.47","6.98","7.77M","-0.41%"
"04/07/2022","7.31","7.49","7.69","7.28","6.13M","-2.66%"
"04/06/2022","7.51","7.59","7.63","7.25","5.87M","-4.33%"
"04/05/2022","7.85","8.11","8.11","7.67","5.07M","-2.73%"
"04/04/2022","8.07","8.12","8.34","7.95","5.14M","0.12%"
"04/01/2022","8.06","7.84","8.18","7.82","6.68M","4.40%"
"03/31/2022","7.72","8.17","8.17","7.72","4.87M","-4.22%"
"03/30/2022","8.06","8.22","8.41","8.00","4.85M","-3.59%"
"03/29/2022","8.36","8.17","8.46","8.05","7.15M","3.72%"
"03/28/2022","8.06","7.92","8.21","7.82","5.80M","1.38%"
"03/25/2022","7.95","8.16","8.48","7.82","7.35M","-2.45%"
"03/24/2022","8.15","7.94","8.19","7.66","7.81M","3.03%"
"03/23/2022","7.91","7.97","8.19","7.69","8.04M","-1.37%"
"03/22/2022","8.02","7.64","8.25","7.64","13.24M","6.08%"
"03/21/2022","7.56","7.96","8.08","7.31","11.21M","-3.82%"
"03/18/2022","7.86","7.27","8.13","7.23","15.67M","5.65%"
"03/17/2022","7.44","6.87","7.47","6.61","18.29M","8.14%"
"03/16/2022","6.88","6.38","6.93","6.20","26.42M","15.05%"
"03/15/2022","5.98","6.02","6.07","5.55","17.62M","0.84%"
"03/14/2022","5.93","6.50","6.56","5.82","20.73M","-9.33%"
"03/11/2022","6.54","7.20","7.21","6.51","14.45M","-7.23%"
"03/10/2022","7.05","7.66","7.70","6.97","17.05M","-11.43%"
"03/09/2022","7.96","7.83","8.23","7.71","8.59M","5.01%"
"03/08/2022","7.58","6.87","8.33","6.74","16.95M","10.98%"
"03/07/2022","6.83","7.10","7.26","6.80","11.30M","-4.61%"
"03/04/2022","7.16","7.30","7.55","7.05","7.45M","-2.85%"
"03/03/2022","7.37","7.90","7.90","7.28","7.67M","-5.15%"
"03/02/2022","7.77","7.93","8.00","7.49","7.62M","-1.89%"
"03/01/2022","7.92","7.69","8.18","7.59","9.92M","3.53%"
"02/28/2022","7.65","7.64","7.86","7.30","8.57M","-1.67%"
"02/25/2022","7.78","8.17","8.17","7.51","15.14M","-2.02%"
"02/24/2022","7.94","7.20","8.22","7.16","24.16M","5.59%"
"02/23/2022","7.52","9.65","9.67","7.50","38.42M","-14.55%"
"02/22/2022","8.80","10.00","10.02","8.68","25.52M","-10.66%"
"02/18/2022","9.85","10.28","11.83","9.74","39.67M","-2.38%"
"02/17/2022","10.09","9.31","10.27","9.16","23.38M","11.49%"
"02/16/2022","9.05","9.27","9.31","8.72","9.06M","-1.09%"
"02/15/2022","9.15","9.26","9.28","8.86","7.16M","5.41%"
"02/14/2022","8.68","8.57","9.07","8.45","6.35M","1.64%"
"02/11/2022","8.54","9.43","9.49","8.45","13.35M","-7.97%"
"02/10/2022","9.28","9.33","9.94","9.26","19.20M","-9.02%"
"02/09/2022","10.20","9.07","10.28","8.84","34.82M","14.61%"
"02/08/2022","8.90","7.56","8.92","7.55","17.25M","14.54%"
"02/07/2022","7.77","7.22","7.90","7.16","9.04M","5.57%"
"02/04/2022","7.36","6.67","7.42","6.65","6.18M","8.39%"
"02/03/2022","6.79","6.84","6.94","6.68","4.78M","-2.86%"
"02/02/2022","6.99","7.55","7.60","6.96","6.67M","-7.54%"
"02/01/2022","7.56","7.49","7.63","7.28","4.99M","1.89%"
"01/31/2022","7.42","6.75","7.43","6.70","7.84M","9.93%"
"01/28/2022","6.75","6.78","6.88","6.40","5.67M","-2.03%"
"01/27/2022","6.89","7.19","7.29","6.89","10.45M","-2.55%"
"01/26/2022","7.07","7.52","7.96","6.95","9.13M","-4.72%"
"01/25/2022","7.42","7.12","7.42","6.96","8.11M","2.20%"
"01/24/2022","7.26","7.14","7.37","6.75","11.48M","-3.71%"
"01/21/2022","7.54","7.83","7.92","7.32","7.83M","-5.16%"
"01/20/2022","7.95","7.81","8.55","7.81","12.44M","1.53%"
"01/19/2022","7.83","7.69","7.92","7.54","10.50M","1.82%"
"01/18/2022","7.69","8.00","8.00","7.42","9.82M","-5.30%"
"01/14/2022","8.12","8.66","8.70","8.11","7.74M","-6.34%"
"01/13/2022","8.67","9.00","9.04","8.67","7.15M","-3.67%"
"01/12/2022","9.00","9.33","9.38","8.73","13.53M","-3.64%"
"01/11/2022","9.34","8.97","9.45","8.80","7.73M","3.78%"
"01/10/2022","9.00","9.02","9.10","8.67","7.85M","-3.85%"
"01/07/2022","9.36","9.50","9.68","9.14","4.78M","-1.68%"
"01/06/2022","9.52","9.01","9.53","8.46","11.01M","5.31%"
"01/05/2022","9.04","9.68","9.71","8.92","13.75M","-7.19%"
"01/04/2022","9.74","10.15","10.22","9.48","8.54M","-2.40%"
"01/03/2022","9.98","9.60","10.00","9.55","6.89M","6.40%"
